id,displayName,mail
00006919-b919-460b-93b6-2f4637368d16,1_TEACHER ASSISTANT_FLEET_EHS_S1_22-23,Section_2023_486_891176-474445@lwsd.org
0003a393-569d-47cf-babb-9a3b13dca221,6_TEACHER ASSISTANT_SORENSEN_EHS_S1_22-23,Section_2023_486_772847-475333@lwsd.org
0004a7b7-79c1-4772-aacc-3a25c0c6c1b5,6_ENGLISH 10 HONORS_ANDERSON_LWHS_S1_23-24,Section_2024_484_586613-507077@lwsd.org
000571cb-0a47-4147-8e75-52feb1d03a12,6_TEACHER ASSISTANT_LEE_RHS_S1_23-24,Section_2024_485_547927-506148@lwsd.org
0005a908-f4f2-4994-bc93-d7a16d8de420,1_STUDY HALL_SCHUHMANN [1]_ICS_YR_22-23,Section_2023_479_798916-499321@lwsd.org
0006c354-4372-4252-bfa2-e9dbdda95d41,3_ENGLISH 10_DAVIS_JHS_S1_22-23,Section_2023_482_966633-478647@lwsd.org
0007bc5e-432a-46f8-9980-426eda0f9e8e,P1 - ALGEBRA 1 - COSTA - Sem 2 - 22-23,Section_2023_486_241297-472883@lwsd.org
00097425-40ed-4c4d-81ab-47653fa8f7b6,CAMBRIDGE 9,Section_2023_482_263489-480737@lwsd.org
000bb037-6e61-4991-9af6-d15437566af2,DL-Rose Hill Middle School Library,DL-RoseHillMiddleSchoolLibrary@lwsd.org
000e11ce-3a68-4d33-bb11-9c6f4f62aa1c,kjones Sandbox,GR-CT-kjones-SB@lwsd.org
000e7220-2c0a-494f-bfb2-f9b45bf1ab46,0_SPECIALISTS_BROWN [EL2]_RHMS_YR_23-24,Section_2024_369_772828-515318@lwsd.org
000f158c-98bc-401b-a6ed-e8971413a087,kgalbraith Sandbox,GR-CT-kgalbraith-SB@lwsd.org
0010fb8a-9469-4a68-8d44-9694411d8732,1_PA INFO_COMPUTER LIT_ROBINSON_KIMS_Q3_22-23,Section_2023_365_195122-485274@lwsd.org
0015112a-9f1b-4f41-ab9d-6f582b81d144,2_SCIENCE 6_PARTLOW_KAMS_S1_23-24,Section_2024_367_985592-515410@lwsd.org
00220202-0b49-4c13-b40a-d5def682768b,0_PROVIDER_LE [LE]_EHS_YR_23-24,Section_2024_486_158934-504301@lwsd.org
